symbols,scrips,Date,Close,Today - yesterday Price,5% lower or upper hit?,How much is 5% price diff,5% down price,How much is 5% price diff,5% up price,# days,Back to back
HDFCBANK,EQ,03/07/19,1245,,,62.25,1182.75,62.25,1307.25,0,
HDFCBANK,EQ,04/07/19,1242,-3,,,,,,,
HDFCBANK,EQ,05/07/19,1236,-6,,,,,,,
HDFCBANK,EQ,08/07/19,1205,-31,,,,,,,
HDFCBANK,EQ,09/07/19,1190,-15,,,,,,,
HDFCBANK,EQ,10/07/19,1194,4,,,,,,,
HDFCBANK,EQ,11/07/19,1204,10,,,,,,,
HDFCBANK,EQ,12/07/19,1197,-7,,,,,,,
HDFCBANK,EQ,15/07/19,1197,0,,,,,,,
HDFCBANK,EQ,16/07/19,1196,-1,,,,,,,
HDFCBANK,EQ,17/07/19,1199,3,,,,,,,
HDFCBANK,EQ,18/07/19,1206,7,,,,,,,
HDFCBANK,EQ,19/07/19,1188,-18,,,,,,,
HDFCBANK,EQ,22/07/19,1149,-39,Y,57.45,1091.55,57.45,1206.45,13,Down
HDFCBANK,EQ,23/07/19,1132,-17,,,,,,,
HDFCBANK,EQ,24/07/19,1140,8,,,,,,,
HDFCBANK,EQ,25/07/19,1143,3,,,,,,,
HDFCBANK,EQ,26/07/19,1139,-4,,,,,,,
HDFCBANK,EQ,29/07/19,1122,-17,,,,,,,
HDFCBANK,EQ,30/07/19,1126,4,,,,,,,
HDFCBANK,EQ,31/07/19,1126,0,,,,,,,
HDFCBANK,EQ,01/08/19,1111,-15,,,,,,,
HDFCBANK,EQ,02/08/19,1107,-4,,,,,,,
HDFCBANK,EQ,05/08/19,1090,-17,Y,54.5,1035.5,54.5,1144.5,10,Down
HDFCBANK,EQ,06/08/19,1095,5,,,,,,,
HDFCBANK,EQ,07/08/19,1092,-3,,,,,,,
HDFCBANK,EQ,08/08/19,1117,25,,,,,,,
HDFCBANK,EQ,09/08/19,1141,24,,,,,,,
HDFCBANK,EQ,13/08/19,1110,-31,,,,,,,
HDFCBANK,EQ,14/08/19,1115,5,,,,,,,
HDFCBANK,EQ,16/08/19,1114,-1,,,,,,,
HDFCBANK,EQ,19/08/19,1103,-11,,,,,,,
HDFCBANK,EQ,20/08/19,1110,7,,,,,,,
