Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,,,Date,Close Price,upperlimit,lowerlimit,label
RELIANCE,EQ,27-Aug-19,1266.8,1285,1285,1261.2,1274.35,1274.85,1272.49,12984396,16522569647,271002,7846459,60.43,,,27-Aug-19,1274.85,1338.5925,1211.1075,
RELIANCE,EQ,28-Aug-19,1274.85,1273.75,1281,1256.05,1260.05,1263.3,1266.27,5305639,6718393215,132293,1838944,34.66,,,28-Aug-19,1263.3,1326.465,1200.135,FALSE
RELIANCE,EQ,29-Aug-19,1263.3,1256.45,1260.25,1235.3,1242.05,1241.75,1247.45,8635974,10772946075,161172,4042596,46.81,,,29-Aug-19,1241.75,1303.8375,1179.6625,FALSE
RELIANCE,EQ,30-Aug-19,1241.75,1245.5,1254.4,1221,1253,1248.55,1237.5,11308120,13993833783,258498,5345295,47.27,,,30-Aug-19,1248.55,1310.9775,1186.1225,FALSE
RELIANCE,EQ,3-Sep-19,1248.55,1242.25,1243,1200,1200.45,1206.4,1222.13,8563009,10465120848,199762,3923254,45.82,,,3-Sep-19,1206.4,1266.72,1146.08,NOTE
RELIANCE,EQ,4-Sep-19,1206.4,1200.55,1205.25,1186.05,1202.4,1201.15,1196,15063355,18015841145,267845,7565881,50.23,,,4-Sep-19,1201.15,1261.2075,1141.0925,FALSE
RELIANCE,EQ,5-Sep-19,1201.15,1206.8,1213.2,1193.3,1193.4,1198.6,1202.7,10512763,12643724991,191114,3254760,30.96,,,5-Sep-19,1198.6,1258.53,1138.67,FALSE
RELIANCE,EQ,6-Sep-19,1198.6,1203,1229,1195.25,1220.5,1222.5,1215.37,10600234,12883178006,211038,3398248,32.06,,,6-Sep-19,1222.5,1283.625,1161.375,FALSE
RELIANCE,EQ,9-Sep-19,1222.5,1220.65,1233,1213.15,1221.7,1222.2,1224.14,5370758,6574555885,126178,1201029,22.36,,,9-Sep-19,1222.2,1283.31,1161.09,FALSE
RELIANCE,EQ,11-Sep-19,1222.2,1222.5,1240,1222.5,1232.05,1234.4,1233.81,5544468,6840842137,141564,1711218,30.86,,,11-Sep-19,1234.4,1296.12,1172.68,FALSE
RELIANCE,EQ,12-Sep-19,1234.4,1235,1240.45,1205.7,1211.5,1210.35,1222.41,5431139,6639105042,133763,1784319,32.85,,,12-Sep-19,1210.35,1270.8675,1149.8325,FALSE
RELIANCE,EQ,13-Sep-19,1210.35,1212,1228.5,1206.9,1226.7,1225.6,1216.36,5919260,7199926784,156260,1873608,31.65,,,13-Sep-19,1225.6,1286.88,1164.32,FALSE
RELIANCE,EQ,16-Sep-19,1225.6,1189,1219.1,1186.1,1210.6,1210.75,1205.64,9393731,11325440053,185168,3647917,38.83,,,16-Sep-19,1210.75,1271.2875,1150.2125,FALSE
RELIANCE,EQ,17-Sep-19,1210.75,1211,1211,1193.5,1196.95,1197.45,1201.83,7150435,8593600264,166672,3189652,44.61,,,17-Sep-19,1197.45,1257.3225,1137.5775,FALSE
