Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,20-Jul-20,1911.7,1917.8,1932,1899.65,1921.95,1919.9,1916.93,16887752,32372604466,339625,3836078,22.72
RELIANCE,EQ,21-Jul-20,1919.9,1939,1977,1936.5,1973.5,1971.55,1962.43,19463498,38195689330,375090,5672596,29.14
RELIANCE,EQ,22-Jul-20,1971.55,1983,2010,1960.7,2004,2004,1993.46,27584769,54989120617,547567,8711054,31.58
RELIANCE,EQ,23-Jul-20,2004,2003.95,2079.7,1991.35,2076,2057.8,2035.95,26921058,54810058388,498584,9589647,35.62
RELIANCE,EQ,24-Jul-20,2057.8,2058,2163,2057.8,2148.4,2146.15,2128.53,55656793,1.18467E+11,1078097,12522509,22.5
RELIANCE,EQ,27-Jul-20,2146.15,2178.8,2198.8,2127.9,2154.95,2156.2,2169.68,37060949,80410276312,781374,5262824,14.2
RELIANCE,EQ,28-Jul-20,2156.2,2156.2,2194,2150.65,2177,2177.7,2175.67,25435618,55339580394,528044,5577191,21.93
RELIANCE,EQ,29-Jul-20,2177.7,2177.9,2182.8,2070.45,2092,2096.65,2124.29,33536361,71241119090,738739,9443206,28.16
RELIANCE,EQ,30-Jul-20,2096.65,2099,2139.7,2072,2101.9,2108.85,2111.03,33624516,70982380956,663693,6855972,20.39
RELIANCE,EQ,31-Jul-20,2108.85,2114.5,2129,2052.8,2070,2067.1,2077.02,34593375,71851185920,748942,9000404,26.02
RELIANCE,EQ,3-Aug-20,2067.1,2051.3,2057,2003.1,2007.65,2009,2029.05,21560137,43746668081,515571,6839066,31.72
RELIANCE,EQ,4-Aug-20,2009,2020.6,2167,2000.25,2158.4,2150.6,2098.08,42477225,89120494925,827312,7253795,17.08
RELIANCE,EQ,5-Aug-20,2150.6,2169,2196,2118.3,2132.1,2126.45,2153.72,34405886,74100545222,704272,3949479,11.48
RELIANCE,EQ,6-Aug-20,2126.45,2157,2167.7,2107.8,2136.55,2134.1,2139.59,22762726,48702811222,468092,3095157,13.6
RELIANCE,EQ,7-Aug-20,2134.1,2129.8,2157.8,2120.2,2146,2146.45,2141.31,15222384,32595833726,329099,3705643,24.34
RELIANCE,EQ,10-Aug-20,2146.45,2159.1,2165,2108.1,2121.6,2119.85,2136.58,12441939,26583161119,300073,2893247,23.25
RELIANCE,EQ,11-Aug-20,2119.85,2134.8,2160,2100.35,2132.85,2133.8,2133.3,21611359,46103431136,491594,4174558,19.32
RELIANCE,EQ,12-Aug-20,2133.8,2121,2145,2106.8,2126.55,2127.6,2129.79,13967529,29747858193,308155,2213804,15.85
RELIANCE,EQ,13-Aug-20,2127.6,2128,2138.9,2110,2125.8,2122.05,2122.69,11459251,24324473969,266729,3601994,31.43
RELIANCE,EQ,14-Aug-20,2122.05,2122.55,2157,2089.25,2112,2113.8,2129.96,15333759,32660268152,346390,2362119,15.4
RELIANCE,EQ,17-Aug-20,2113.8,2105,2105,2070.1,2094.05,2091.35,2085.65,14297224,29819054668,324590,2115024,14.79
RELIANCE,EQ,18-Aug-20,2091.35,2085,2134.3,2082.35,2120.2,2118.55,2118.58,14097932,29867537549,281219,2559498,18.16
RELIANCE,EQ,18-Oct-20,3091.35,2085,2134.3,2082.35,2120.2,2118.55,2118.58,14097932,29867537549,281219,2559498,18.16
RELIANCE,EQ,8-Jan-20,191.35,2085,2134.3,2082.35,2120.2,2118.55,2118.58,14097932,29867537549,281219,2559498,18.16
