Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CASTROLIND,EQ,10-Aug-20,121.45,122.65,123.25,121.6,122,122.05,122.43,1201974,147160605.3,9179,846753,70.45
CASTROLIND,EQ,11-Aug-20,122.05,122.5,123,120.55,120.95,121.1,121.67,763716,92921607.6,6806,513613,67.25
CASTROLIND,EQ,12-Aug-20,121.1,121,121.9,119.8,120.6,120.35,120.45,856243,103134178,7886,634111,74.06
CASTROLIND,EQ,13-Aug-20,120.35,120.75,122.1,120.7,121.9,121.75,121.36,644018,78156656.35,6381,353090,54.83
CASTROLIND,EQ,14-Aug-20,121.75,122,123.2,121.25,122.15,122.05,122.03,892073,108858596,6994,496831,55.69
CASTROLIND,EQ,17-Aug-20,122.05,122.95,122.95,120.55,122,122.05,121.67,566906,68977595.85,5418,342258,60.37
CASTROLIND,EQ,18-Aug-20,122.05,122.05,123.25,121.5,123.05,122.85,122.44,930654,113946506.3,9174,618266,66.43
CASTROLIND,EQ,19-Aug-20,122.85,123,125.9,122.4,122.95,123.2,123.32,2893972,356877581.3,14410,2176399,75.2
CASTROLIND,EQ,20-Aug-20,123.2,123,124.6,122.6,122.95,123.05,123.42,694236,85681774.2,9836,423117,60.95
CASTROLIND,EQ,21-Aug-20,123.05,123.55,124.5,123,123.15,123.2,123.75,597543,73944033.95,6983,378200,63.29
CASTROLIND,EQ,24-Aug-20,123.2,124.15,125.7,123.35,124.75,124.55,124.52,1160807,144538310.3,9681,620791,53.48
