SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,29.15,29.4,28.5,28.6,28.5,29.15,49903,1429604.6,31-Jul-20,774,INE144J01027
21STCENMGM,EQ,10.05,10.45,10.05,10.4,10.45,10.25,8380,85549.2,31-Jul-20,68,INE253B01015
3IINFOTECH,EQ,2.45,2.5,2.35,2.4,2.4,2.45,2759633,6644268.1,31-Jul-20,1440,INE748C01020
3MINDIA,EQ,21301,21489.7,20971.3,21078,21100.05,21197.45,2040,43098707.35,31-Jul-20,964,INE470A01017
5PAISA,EQ,344.15,344.15,344.15,344.15,344.15,362.25,9336,3212984.4,31-Jul-20,127,INE618L01018
63MOONS,BE,69.3,70.85,69,70.05,70.4,69.55,8100,566940.65,31-Jul-20,117,INE111B01023
716GS2050,GS,108,111,106.3,111,111,106.18,60,6583,31-Jul-20,3,IN0020200054
757GS2033,GS,116,116,116,116,116,111,10,1160,31-Jul-20,1,IN0020190065
A2ZINFRA,EQ,4.2,4.2,3.95,4,4,4.1,430152,1728550.35,31-Jul-20,428,INE619I01012
AARON,SM,43.35,43.35,43.35,43.35,43.35,44.1,13200,572220,31-Jul-20,1,INE721Z01010
AARTIDRUGS,EQ,1710,1750,1710,1740.25,1735,1707.7,110001,191419484.5,31-Jul-20,6871,INE767A01016
AARTIIND,EQ,956,995,950.45,990.4,991,965.35,547042,537441952.1,31-Jul-20,22504,INE769A01020
AARTISURF,BE,246.05,246.05,246.05,246.05,246.05,259,8580,2111109,31-Jul-20,80,INE09EO01013
AARVEEDEN,BE,10,10.6,10,10,10,10.25,5218,52461.9,31-Jul-20,11,INE273D01019
AARVI,EQ,30.4,32.5,30.4,31.5,31.5,32,32030,1008922.5,31-Jul-20,3,INE754X01016
AAVAS,EQ,1311,1379,1311,1370.45,1366,1309.75,124532,166922007.5,31-Jul-20,3053,INE216P01012
ABAN,EQ,24.1,24.6,23.1,23.35,23.6,24.1,47799,1128566.7,31-Jul-20,508,INE421A01028
ABB,EQ,900,900,865.5,894.95,896.5,865.15,151890,134625710.5,31-Jul-20,5640,INE117A01022
ABBOTINDIA,EQ,14905,15661.65,14905,15536.35,15550,14905.8,46384,707614255.6,31-Jul-20,9778,INE358A01014
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
