Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,,Date,Close Price,diff,upperlimit,lowerLimit,,Labels
DMART,EQ,16-Aug-19,1490.6,1484,1500,1472,1483.5,1492.7,1486.86,445359,662187289.8,31387,213927,48.03,,16-Aug-19,1492.7,74.635,1567.335,1418.065,,NOTE
DMART,EQ,19-Aug-19,1492.7,1493,1534.15,1490,1500.5,1504.7,1514.92,815189,1234946300,34586,277693,34.06,,19-Aug-19,1504.7,75.235,1579.935,1429.465,FALSE,FALSE
DMART,EQ,20-Aug-19,1504.7,1509.45,1514.1,1461.05,1472.05,1475,1491.39,299052,446002430.2,17919,99405,33.24,,20-Aug-19,1475,73.75,1548.75,1401.25,FALSE,FALSE
DMART,EQ,21-Aug-19,1475,1475,1500,1468,1481.7,1481.75,1485.79,377605,561042473.8,25465,144715,38.32,,21-Aug-19,1481.75,74.0875,1555.8375,1407.6625,FALSE,FALSE
DMART,EQ,22-Aug-19,1481.75,1481.75,1504,1477.35,1479.95,1485.75,1493,380913,568702606.2,20769,189875,49.85,,22-Aug-19,1485.75,74.2875,1560.0375,1411.4625,FALSE,FALSE
DMART,EQ,23-Aug-19,1485.75,1480,1485,1462.05,1471.8,1470.2,1474.69,368861,543955373.7,19501,162061,43.94,,23-Aug-19,1470.2,73.51,1543.71,1396.69,FALSE,FALSE
DMART,EQ,26-Aug-19,1470.2,1490,1535,1471.6,1527,1531.05,1513.95,643093,973609191.5,47680,328506,51.08,,26-Aug-19,1531.05,76.5525,1607.6025,1454.4975,FALSE,FALSE
DMART,EQ,27-Aug-19,1531.05,1536.15,1574,1521.5,1525.5,1534.1,1547.19,862520,1334482563,50983,404307,46.88,,27-Aug-19,1534.1,76.705,1610.805,1457.395,FALSE,FALSE
DMART,EQ,28-Aug-19,1534.1,1528.3,1578.8,1520,1547,1553.3,1552.67,581625,903070146.8,39250,171197,29.43,,28-Aug-19,1553.3,77.665,1630.965,1475.635,FALSE,FALSE
DMART,EQ,29-Aug-19,1553.3,1546.1,1574.2,1533.2,1560,1547.05,1555.17,324452,504577278.6,21786,91077,28.07,,29-Aug-19,1547.05,77.3525,1624.4025,1469.6975,FALSE,FALSE
