20MICRONS,EQ,30.3,30.4,28.85,29.15,29,29.9,119773,3513680.3,30-Jul-20,982,INE144J01027
21STCENMGM,EQ,10.45,10.55,10.25,10.25,10.25,10.45,628,6592,30-Jul-20,10,INE253B01015
3IINFOTECH,EQ,2.55,2.55,2.4,2.45,2.5,2.5,2610962,6490623.85,30-Jul-20,1266,INE748C01020
3MINDIA,EQ,21450,21900,20750,21197.45,21711.9,21501.65,6369,134539798,30-Jul-20,3222,INE470A01017
3PLAND,EQ,8.05,8.05,8,8,8,8.05,104,832.2,30-Jul-20,4,INE105C01023
522GS2025,GS,96,96,96,96,96,96,100,9600,30-Jul-20,1,IN0020200112
579GS2030,GS,99,99,99,99,99,99.95,99,9801,30-Jul-20,1,IN0020200070
5PAISA,EQ,362.25,362.25,362.25,362.25,362.25,381.3,7740,2803815,30-Jul-20,143,INE618L01018
63MOONS,BE,71.95,71.95,69,69.55,69.4,71.7,16666,1170550.15,30-Jul-20,199,INE111B01023
706GS2046,GS,108,108,108,108,108,103,20,2160,30-Jul-20,2,IN0020160068
716GS2050,GS,106.18,106.18,106.18,106.18,106.18,111.7,9,955.62,30-Jul-20,1,IN0020200054
719GS2060,GS,113.03,113.04,113,113.03,113.03,113.04,722,81604.78,30-Jul-20,5,IN0020200039
757GS2033,GS,111,111,111,111,111,115.7,500,55500,30-Jul-20,1,IN0020190065
772GS2049,GS,119.5,119.5,117,117,117,119,288,34046,30-Jul-20,3,IN0020190032
A2ZINFRA,EQ,4.3,4.3,4.05,4.1,4.1,4.25,288760,1209936.35,30-Jul-20,359,INE619I01012
AAKASH,SM,39.5,39.5,39.05,39.05,39.05,39,15000,588000,30-Jul-20,4,INE087Z01016
AARON,SM,44.1,44.1,44.1,44.1,44.1,43.9,3300,145530,30-Jul-20,1,INE721Z01010
AARTIDRUGS,EQ,1684.95,1740,1669,1707.7,1705,1668.4,163506,280535030.9,30-Jul-20,9524,INE767A01016
AARTIIND,EQ,968,975.45,956.55,965.35,965.95,965.55,230420,222961728.8,30-Jul-20,9890,INE769A01020
