Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,,Date,Close Price,upperMargin,lowerMargin,label
HDFCBANK,EQ,26-Aug-19,2162.7,2194.9,2266.15,2167,2259,2256.15,2216.97,6320061,14011405009,231650,3467750,54.87,,26-Aug-19,2256.15,2368.9575,2143.3425,
HDFCBANK,EQ,27-Aug-19,2256.15,2256,2272.9,2240.1,2258,2259.95,2257.98,5165208,11662935038,199581,3252574,62.97,,27-Aug-19,2259.95,2372.9475,2146.9525,FALSE
HDFCBANK,EQ,28-Aug-19,2259.95,2250,2257.35,2226.35,2245,2247.5,2240.16,3415647,7651604388,166668,1934486,56.64,,28-Aug-19,2247.5,2359.875,2135.125,FALSE
HDFCBANK,EQ,29-Aug-19,2247.5,2246,2253.7,2220.3,2225.5,2226.95,2236.05,3695929,8264299894,156003,2120121,57.36,,29-Aug-19,2226.95,2338.2975,2115.6025,FALSE
HDFCBANK,EQ,30-Aug-19,2226.95,2233.5,2260,2222,2231.9,2227.95,2238.3,4808330,10762486798,161307,2865953,59.6,,30-Aug-19,2227.95,2339.3475,2116.5525,FALSE
HDFCBANK,EQ,3-Sep-19,2227.95,2220,2221,2196.15,2200.5,2210.95,2210.2,2857169,6314928163,154531,1973739,69.08,,3-Sep-19,2210.95,2321.4975,2100.4025,FALSE
HDFCBANK,EQ,4-Sep-19,2210.95,2207,2274,2199,2244,2247.75,2242.36,3765176,8442880813,147126,1806149,47.97,,4-Sep-19,2247.75,2360.1375,2135.3625,FALSE
HDFCBANK,EQ,5-Sep-19,2247.75,2249,2272.4,2225,2232,2235.15,2249.57,4324063,9727276038,132274,2233304,51.65,,5-Sep-19,2235.15,2346.9075,2123.3925,FALSE
HDFCBANK,EQ,6-Sep-19,2235.15,2228,2256.6,2221.3,2241.75,2245.9,2240.48,3217501,7208762090,129381,1963939,61.04,,6-Sep-19,2245.9,2358.195,2133.605,FALSE
HDFCBANK,EQ,9-Sep-19,2245.9,2246,2260.9,2216.1,2245.15,2249.6,2246.95,2660851,5978807001,86620,1419605,53.35,,9-Sep-19,2249.6,2362.08,2137.12,FALSE
HDFCBANK,EQ,11-Sep-19,2249.6,2274,2274,2241.15,2246,2251.3,2254.26,3802279,8571339383,169443,2480806,65.25,,11-Sep-19,2251.3,2363.865,2138.735,FALSE
HDFCBANK,EQ,12-Sep-19,2251.3,2250.7,2288.8,2248.15,2267.95,2270.85,2271.76,4533075,10298073928,166034,3043908,67.15,,12-Sep-19,2270.85,2384.3925,2157.3075,FALSE
HDFCBANK,EQ,13-Sep-19,2270.85,2251,2267.45,2238,2259.8,2257.45,2252.89,3842835,8657474068,164332,2253074,58.63,,13-Sep-19,2257.45,2370.3225,2144.5775,FALSE
HDFCBANK,EQ,16-Sep-19,2257.45,2251.9,2262.65,2241,2243,2244.15,2250.46,2757546,6205756889,131945,1635667,59.32,,16-Sep-19,2244.15,2356.3575,2131.9425,FALSE
HDFCBANK,EQ,17-Sep-19,2244.15,2247.9,2248.5,2198.1,2220,2211.35,2220.32,2664139,5915245204,141227,1442352,54.14,,17-Sep-19,2211.35,2321.9175,2100.7825,FALSE
HDFCBANK,EQ,18-Sep-19,2211.35,2217.3,2224.15,2180,2188,2187.75,2203.61,3239971,7139638887,155878,1584011,48.89,,18-Sep-19,2187.75,2297.1375,2078.3625,FALSE
HDFCBANK,EQ,19-Sep-19,2187.75,1099.9,1107.05,1084,1100.05,1101.05,1093.79,5311655,5809819672,172428,2433720,45.82,,19-Sep-19,1101.05,1156.1025,1045.9975,NOTE
HDFCBANK,EQ,20-Sep-19,1101.05,1108,1209.9,1105.4,1202,1199.6,1174.97,23075017,27112448514,495257,10624318,46.04,,20-Sep-19,1199.6,1259.58,1139.62,NOTE
HDFCBANK,EQ,23-Sep-19,1199.6,1259.55,1282.7,1229,1255.3,1257.25,1257.31,20960205,26353536485,399302,11470765,54.73,,23-Sep-19,1257.25,1320.1125,1194.3875,FALSE
HDFCBANK,EQ,24-Sep-19,1257.25,1250,1261.95,1227.55,1252.15,1253.8,1244.36,11689524,14546003121,253765,6331061,54.16,,24-Sep-19,1253.8,1316.49,1191.11,FALSE
HDFCBANK,EQ,25-Sep-19,1253.8,1249.9,1249.9,1230.1,1240,1239.7,1238.04,7804488,9662249393,188354,4384523,56.18,,25-Sep-19,1239.7,1301.685,1177.715,FALSE
HDFCBANK,EQ,26-Sep-19,1239.7,1239.8,1275,1236.35,1246,1242.5,1249.5,15335780,19162065307,267570,6818174,44.46,,26-Sep-19,1242.5,1304.625,1180.375,FALSE
HDFCBANK,EQ,27-Sep-19,1242.5,1248.25,1253.5,1237.6,1245.6,1244.2,1245.87,7436585,9264982099,181792,4340632,58.37,,27-Sep-19,1244.2,1306.41,1181.99,FALSE
HDFCBANK,EQ,30-Sep-19,1244.2,1228.8,1240,1216.5,1227.5,1227.45,1229.6,9109229,11200672639,213075,6091881,66.88,,30-Sep-19,1227.45,1288.8225,1166.0775,FALSE
HDFCBANK,EQ,1-Oct-19,1227.45,1231.5,1255,1221.1,1250.2,1248.8,1241.11,9384176,11646764342,237310,4624217,49.28,,1-Oct-19,1248.8,1311.24,1186.36,FALSE
HDFCBANK,EQ,3-Oct-19,1248.8,1239.95,1243.8,1216.35,1222.9,1223.55,1227.27,8149438,10001593148,288240,4297804,52.74,,3-Oct-19,1223.55,1284.7275,1162.3725,FALSE
HDFCBANK,EQ,4-Oct-19,1223.55,1236.65,1239.6,1185.3,1189.75,1189.7,1209.48,9201816,11129384401,257533,4831347,52.5,,4-Oct-19,1189.7,1249.185,1130.215,FALSE
HDFCBANK,EQ,7-Oct-19,1189.7,1201.2,1219.85,1181.15,1184.55,1186.9,1201.38,11256610,13523469540,216482,5007897,44.49,,7-Oct-19,1186.9,1246.245,1127.555,FALSE
HDFCBANK,EQ,9-Oct-19,1186.9,1197.1,1229.9,1190,1228.2,1228.15,1211.14,8713635,10553402883,241068,4674399,53.64,,9-Oct-19,1228.15,1289.5575,1166.7425,FALSE
HDFCBANK,EQ,10-Oct-19,1228.15,1221.8,1225.95,1197.2,1203,1200.55,1204.54,5778429,6960322086,173146,3089486,53.47,,10-Oct-19,1200.55,1260.5775,1140.5225,FALSE
